variant,bench_type,input_len,output_len,batch_size,round,returncode,elapsed_s,benchmark_duration_s,input_throughput_tok_s,mean_itl_ms,mean_tpot_ms,mean_ttft_ms,median_itl_ms,median_tpot_ms,median_ttft_ms,output_throughput_tok_s,p99_itl_ms,p99_tpot_ms,p99_ttft_ms,request_throughput_req_s,successful_requests,total_generated_tokens,total_input_tokens
marlin_mxfp4a16,ttft,131072,256,1,2,0,125.674,101.65,12894.54,5.19,5.19,8841.49,4.64,5.22,8817.38,25.18,13.62,5.82,9040.12,0.1,10,2560,1310720
flashinfer_mxfp4a16,tpot,1024,1024,1,1,0,19.795,5.11,200.23,4.82,4.82,177.76,4.65,4.82,177.76,200.23,9.69,4.82,177.76,0.2,1,1024,1024
flashinfer_mxfp4a16,tpot,1024,1024,4,1,0,21.602,7.15,572.71,6.06,6.06,559.25,5.84,6.06,567.58,572.71,15.23,6.42,568.17,0.56,4,4096,4096
flashinfer_mxfp4a16,tpot,1024,1024,8,2,0,23.746,8.72,939.68,7.3,7.3,641.83,7.08,7.25,644.79,939.68,16.52,7.87,646.01,0.92,8,8192,8192
flashinfer_mxfp4a16,tpot,32768,1024,1,1,0,24.344,7.31,4482.43,5.01,5.01,2172.25,4.81,5.01,2172.25,140.08,9.58,5.01,2172.25,0.14,1,1024,32768
flashinfer_mxfp4a16,tpot,32768,1024,4,1,0,32.459,15.46,8477.16,9.28,9.28,5603.29,6.04,9.33,5652.42,264.91,15.47,11.72,8543.76,0.26,4,4096,131072
flashinfer_mxfp4a16,tpot,32768,1024,8,3,0,42.288,25.66,10215.28,14.53,14.53,10142.11,7.36,14.58,10423.98,319.23,14.61,21,16987.05,0.31,8,8192,262144
flashinfer_mxfp4a16,tpot,65536,1024,1,2,0,28.13,9.69,6760.08,5.17,5.17,4393.8,4.89,5.17,4393.8,105.63,13.85,5.17,4393.8,0.1,1,1024,65536
flashinfer_mxfp4a16,tpot,65536,1024,4,2,0,44.874,24.52,10691.58,12.71,12.71,11096.11,6.23,12.75,11137.83,167.06,15.95,18.28,17256.95,0.16,4,4096,262144
flashinfer_mxfp4a16,tpot,65536,1024,8,1,0,61.967,43.52,12047.08,22.34,22.34,19894.98,7.67,22.07,20209.52,188.24,18.62,36.05,34171.21,0.18,8,8192,524288
flashinfer_mxfp4a16,tpot,131072,1024,1,1,0,38.542,14.58,8987.62,5.36,5.36,9077,5.08,5.36,9077,70.22,10.89,5.36,9077,0.07,1,1024,131072
flashinfer_mxfp4a16,tpot,131072,1024,4,1,0,68.315,43.33,12100.36,19.66,19.66,22624.43,6.54,19.37,22635.08,94.53,13.06,32.28,35549.78,0.09,4,4096,524288
flashinfer_mxfp4a16,tpot,131072,1024,8,3,0,106.601,81.42,12879.15,38.73,38.73,40831.91,8.29,38.67,40999.71,100.62,22.16,67.8,70713.28,0.1,8,8192,1048576
flashinfer_mxfp4a16,ttft,16384,256,1,3,0,40.758,24.32,6736.86,5.19,5.19,1108.1,4.76,5.1,1095.98,105.26,14.05,5.77,1225.08,0.41,10,2560,163840
flashinfer_mxfp4a16,ttft,32768,256,1,2,0,52.12,35.36,9267.05,5.19,5.19,2211.63,4.78,5.19,2214.53,72.4,13.09,5.69,2312.25,0.28,10,2560,327680
flashinfer_mxfp4a16,ttft,65536,256,1,2,0,78.084,58.48,11206.66,5.43,5.43,4462.79,4.91,5.42,4454.11,43.78,14.32,6.19,4665.87,0.17,10,2560,655360
flashinfer_mxfp4a16,ttft,131072,256,1,3,0,130.932,106.76,12277.15,5.88,5.88,9174.9,5.1,5.91,9196.41,23.98,19.91,7.46,9411.93,0.09,10,2560,1310720
